2018/12/15-02:45:37 AM-584-60.0
2018/12/15-11:08:55 PM-508-0.0
2018/12/15-11:10:28 PM-508-0.0
2018/12/15-11:11:55 PM-508-0.0
2018/12/15-11:13:44 PM-508-0.0
2018/12/15-11:16:09 PM-508-0.0
2018/12/15-11:16:43 PM-500-0.0
2018/12/15-11:18:03 PM-500-0.0
2018/12/15-11:27:33 PM-500-50.0
2018/12/15-11:32:35 PM-508-740.0
2018/12/15-11:32:46 PM-508-740.0
2018/12/15-11:50:36 PM-508-7400.0
2018/12/15-11:55:38 PM-508-370.0
2018/12/15-11:55:47 PM-508-370.0
2018/12/15-11:55:56 PM-508-74.0
2018/12/16-12:10:24 AM-900-0.0
2018/12/16-12:10:31 AM-900-0.0
2018/12/16-12:21:08 AM-508-666.0
2018/12/16-12:21:33 AM-ss-0.0
2018/12/16-12:21:46 AM-508-0.0
2018/12/16-12:21:48 AM-508-74.0
2018/12/16-10:20:49 AM-508-148.0
2018/12/16-10:21:18 AM-508-74.0
2018/12/16-10:36:42 AM-508-148.0
2018/12/16-10:44:06 AM-508-740.0
2018/12/16-10:44:11 AM-508-518.0
2018/12/16-12:05:46 PM-508-666.0
2018/12/16-12:06:27 PM-508-7400.0
2018/12/16-12:07:07 PM-508-7400.0
2018/12/16-12:10:11 PM-508-18500.0
2018/12/30-06:58:14 PM-508-444.0
2019/01/23-09:03:04 PM-508-370.0
2019/01/25-11:06:20 PM-508-370.0
2019/01/25-11:06:55 PM-508-370.0
2019/01/27-01:46:59 AM-508-370.0
2019/01/27-01:47:06 AM-508-370.0
2019/01/27-01:48:17 AM-500-25.0
2019/01/27-01:58:51 AM-508-148.0
2019/01/27-01:58:58 AM-500-50.0
2019/01/27-02:11:43 AM-508-148.0
2019/01/27-02:11:58 AM-508-370.0
2019/01/28-12:12:15 AM-5-0.0
2019/01/28-12:12:21 AM-1-0.0
2019/01/28-12:13:17 AM-508-370.0
2019/01/28-12:35:36 AM-508-370.0
2019/01/28-12:36:31 AM-508-370.0
2019/01/28-12:48:42 AM-508-370.0
2019/01/28-12:48:50 AM-508-370.0
2019/01/28-12:49:20 AM-508-74.0
2019/01/28-12:52:01 AM-508-370.0
2019/01/28-12:52:58 AM-508-74.0
2019/01/28-12:53:33 AM-508-370.0
2019/01/28-12:54:14 AM-508-74.0
2019/01/28-12:54:38 AM-508-370.0
2019/01/28-12:56:04 AM-508-370.0
2019/01/28-12:56:44 AM-508-148.0
2019/01/28-01:04:55 AM-508-370.0
2019/01/28-01:05:27 AM-508-296.0
2019/01/28-01:06:05 AM-508-148.0
2019/01/28-01:06:41 AM-500-125.0
2019/01/28-01:07:58 AM-500-100.0
2019/01/28-01:08:06 AM-500-25.0
2019/01/28-01:24:07 AM-500-25.0
2019/01/28-01:25:39 AM-500-25.0
2019/01/28-01:26:58 AM-500-25.0
2019/01/28-01:28:39 AM-508-74.0
2019/01/28-01:28:46 AM-500-125.0
2019/01/29-06:36:53 PM-508-370.0
2019/01/29-06:36:59 PM-500-25.0
2019/01/29-06:46:48 PM-500-50.0
2019/01/29-06:47:47 PM-500-25.0
2019/01/29-06:54:42 PM-500-25.0
2019/01/29-06:54:46 PM-508-74.0
